#Time     v(mydiv.VCLK.v) vg(mydiv.D1.M1.m) vg(mydiv.D1.M2.m) vg(mydiv.D1.M5.m) vg(mydiv.D2.M5.m) vg(mydiv.inv1.P1.m) vg(mydiv.inv2.P1.m) v(mydiv.q)
 0.       0.       4.15     4.15     5.       0.       0.       5.       4.15    
 500.E-12 5.       3.55     3.55     0.494    4.61     5.       0.494    3.55    
 1.E-9    5.       3.65     3.65    -0.218    5.18     5.      -0.218    3.65    
 1.5E-9   5.       3.94     3.94     0.262    4.81     5.       0.262    3.94    
 1.52E-9  5.       3.94     3.94     0.161    4.94     5.       0.161    3.94    
 1.53E-9  5.       3.94     3.94     0.144    4.95     5.       0.144    3.94    
 1.61E-9  5.       3.98     3.98     0.0437   5.01     5.       0.0437   3.98    
 1.62E-9  5.       3.99     3.99     0.0378   5.       5.       0.0378   3.99    
 1.63E-9  5.       4.       4.       0.033    5.       5.       0.033    4.      
 1.63E-9  5.       4.01     4.01     0.0312   5.       5.       0.0312   4.01    
 1.64E-9  5.       4.02     4.02     0.0293   5.       5.       0.0293   4.02    
 1.65E-9  5.       4.02     4.02     0.0275   5.       5.       0.0275   4.02    
 1.66E-9  5.       4.03     4.03     0.0255   5.       5.       0.0255   4.03    
 1.67E-9  5.       4.04     4.04     0.0222   5.       5.       0.0222   4.04    
 1.68E-9  5.       4.05     4.05     0.0201   5.       5.       0.0201   4.05    
 1.7E-9   5.       4.07     4.07     0.0165   5.       5.       0.0165   4.07    
 1.73E-9  5.       4.09     4.09     0.0136   5.       5.       0.0136   4.09    
 1.78E-9  5.       4.13     4.13     0.00952  5.       5.       0.00952  4.13    
 1.88E-9  5.       4.2      4.2      0.00525  5.       5.       0.00525  4.2     
 2.05E-9  5.       4.3      4.3      0.00339  5.       5.       0.00339  4.3     
 2.31E-9  5.       4.41     4.41     0.00211  5.       5.       0.00211  4.41    
 2.78E-9  5.       4.5      4.5      0.00125  5.       5.       0.00125  4.5     
 3.65E-9  5.       4.46     4.46     461.E-6  5.       5.       461.E-6  4.46    
 4.51E-9  5.       4.24     4.24     53.9E-6  5.       5.       53.9E-6  4.24    
 6.1E-9   5.       3.56     3.56    -402.E-6  5.       5.      -402.E-6  3.56    
 7.69E-9  5.       2.87     2.87    -462.E-6  5.       5.      -462.E-6  2.87    
 11.7E-9  5.       2.32     2.32     197.E-6  5.       5.       197.E-6  2.32    
 15.7E-9  5.       2.32     2.29    -150.E-6  5.       5.      -150.E-6  2.32    
 19.6E-9  5.       2.63     1.93     176.E-6  5.       5.       176.E-6  2.63    
 22.8E-9  5.       3.31     1.45     75.1E-6  5.       5.       75.1E-6  3.31    
 29.9E-9  5.       3.94     0.613    155.E-6  5.       5.       155.E-6  3.94    
 37.1E-9  5.       3.81     0.329   -9.7E-6   5.       5.      -9.7E-6   3.81    
 44.2E-9  5.       3.79     0.337    67.4E-6  5.       5.       67.4E-6  3.79    
 56.8E-9  5.       3.76     0.345   -51.2E-6  5.       5.      -51.2E-6  3.76    
 69.4E-9  5.       3.77     0.351    53.1E-6  5.       5.       53.1E-6  3.77    
 88.6E-9  5.       3.76     0.345   -51.1E-6  5.       5.      -51.1E-6  3.76    
 122.E-9  5.       3.77     0.349    50.3E-6  5.       5.       50.3E-6  3.77    
 156.E-9  5.       3.76     0.345   -49.6E-6  5.       5.      -49.6E-6  3.76    
 229.E-9  5.       3.77     0.349    49.4E-6  5.       5.       49.4E-6  3.77    
 340.E-9  5.       3.76     0.345   -49.2E-6  5.       5.      -49.2E-6  3.76    
 500.E-9  5.       3.77     0.349    49.1E-6  5.       5.       49.1E-6  3.77    
 501.E-9  1.2E-9   3.33    -0.0288   4.28     0.945    1.2E-9   4.28     3.33    
 501.E-9 -968.E-12 2.96    -0.492    5.29    -0.237   -968.E-12 5.29     2.96    
 501.E-9  559.E-12 2.83    -0.656    4.94     0.256    559.E-12 4.94     2.83    
 501.E-9 -562.E-12 2.82    -0.676    4.94     0.126   -562.E-12 4.94     2.82    
 501.E-9  582.E-12 2.81    -0.689    4.95     0.0977   582.E-12 4.95     2.81    
 501.E-9 -548.E-12 2.8     -0.703    4.94     0.0895  -548.E-12 4.94     2.8     
 501.E-9  568.E-12 2.8     -0.713    4.95     0.087    568.E-12 4.95     2.8     
 501.E-9 -556.E-12 2.78    -0.748    4.96     0.0785  -556.E-12 4.96     2.78    
 501.E-9  562.E-12 2.77    -0.788    4.97     0.0697   562.E-12 4.97     2.77    
 502.E-9 -558.E-12 2.79    -0.824    4.98     0.0583  -558.E-12 4.98     2.79    
 502.E-9  561.E-12 2.89    -0.83     4.99     0.0436   561.E-12 4.99     2.89    
 502.E-9 -559.E-12 3.05    -0.785    4.99     0.0352  -559.E-12 4.99     3.05    
 502.E-9  560.E-12 3.15    -0.737    5.       0.0419   560.E-12 5.       3.15    
 502.E-9 -558.E-12 3.28    -0.667    5.       0.0203  -558.E-12 5.       3.28    
 502.E-9  567.E-12 3.28    -0.665    5.       0.0195   567.E-12 5.       3.28    
 502.E-9 -568.E-12 3.28    -0.663    5.       0.0189  -568.E-12 5.       3.28    
 502.E-9  576.E-12 3.28    -0.663    5.       0.0184   576.E-12 5.       3.28    
 502.E-9 -578.E-12 3.29    -0.661    5.       0.0179  -578.E-12 5.       3.29    
 502.E-9  593.E-12 3.29    -0.662    4.99     0.0173   593.E-12 4.99     3.29    
 502.E-9 -606.E-12 3.29    -0.658    5.       0.0166  -606.E-12 5.       3.29    
 502.E-9  584.E-12 3.29    -0.66     5.       0.016    584.E-12 5.       3.29    
 502.E-9 -603.E-12 3.29    -0.655    5.       0.0153  -603.E-12 5.       3.29    
 502.E-9  606.E-12 3.29    -0.658    5.       0.0147   606.E-12 5.       3.29    
 502.E-9 -637.E-12 3.3     -0.648    5.       0.0141  -637.E-12 5.       3.3     
 502.E-9  669.E-12 3.3     -0.649    5.       0.0135   669.E-12 5.       3.3     
 502.E-9 -713.E-12 3.3     -0.643    5.01     0.013   -713.E-12 5.01     3.3     
 502.E-9  686.E-12 3.31    -0.64     5.01     0.0123   686.E-12 5.01     3.31    
 502.E-9 -707.E-12 3.31    -0.638    5.01     0.0116  -707.E-12 5.01     3.31    
 503.E-9  701.E-12 3.31    -0.636    5.       0.0109   701.E-12 5.       3.31    
 503.E-9 -735.E-12 3.32    -0.63     5.01     0.0101  -735.E-12 5.01     3.32    
 503.E-9  710.E-12 3.32    -0.624    5.01     0.00943  710.E-12 5.01     3.32    
 503.E-9 -727.E-12 3.32    -0.625    5.01     0.00877 -727.E-12 5.01     3.32    
 503.E-9  726.E-12 3.33    -0.62     5.       0.00823  726.E-12 5.       3.33    
 503.E-9 -730.E-12 3.33    -0.619    5.       0.00689 -730.E-12 5.       3.33    
 503.E-9  715.E-12 3.34    -0.607    5.       0.00629  715.E-12 5.       3.34    
 503.E-9 -724.E-12 3.35    -0.599    5.       0.00573 -724.E-12 5.       3.35    
 503.E-9  725.E-12 3.36    -0.59     5.       0.0053   725.E-12 5.       3.36    
 503.E-9 -734.E-12 3.37    -0.581    5.       0.00484 -734.E-12 5.       3.37    
 503.E-9  739.E-12 3.38    -0.567    5.       0.00434  739.E-12 5.       3.38    
 503.E-9 -734.E-12 3.39    -0.551    5.       0.00388 -734.E-12 5.       3.39    
 503.E-9  742.E-12 3.4     -0.539    5.       0.00354  742.E-12 5.       3.4     
 503.E-9 -740.E-12 3.41    -0.524    5.       0.00321 -740.E-12 5.       3.41    
 503.E-9  748.E-12 3.43    -0.511    5.       0.00297  748.E-12 5.       3.43    
 503.E-9 -750.E-12 3.44    -0.496    5.       0.00272 -750.E-12 5.       3.44    
 503.E-9  759.E-12 3.45    -0.485    5.       0.00256  759.E-12 5.       3.45    
 503.E-9 -766.E-12 3.46    -0.469    5.       0.00235 -766.E-12 5.       3.46    
 503.E-9  761.E-12 3.47    -0.458    5.       0.00215  761.E-12 5.       3.47    
 503.E-9 -769.E-12 3.48    -0.444    5.       0.00201 -769.E-12 5.       3.48    
 503.E-9  768.E-12 3.49    -0.433    5.       0.00188  768.E-12 5.       3.49    
 503.E-9 -775.E-12 3.5     -0.418    5.       0.00177 -775.E-12 5.       3.5     
 503.E-9  777.E-12 3.52    -0.403    5.       0.00167  777.E-12 5.       3.52    
 503.E-9 -781.E-12 3.53    -0.384    5.       0.00156 -781.E-12 5.       3.53    
 503.E-9  782.E-12 3.55    -0.365    5.       0.00154  782.E-12 5.       3.55    
 503.E-9 -787.E-12 3.56    -0.346    5.       0.00147 -787.E-12 5.       3.56    
 503.E-9  790.E-12 3.57    -0.328    5.       0.00148  790.E-12 5.       3.57    
 503.E-9 -797.E-12 3.59    -0.299    5.01     0.00136 -797.E-12 5.01     3.59    
 503.E-9  789.E-12 3.61    -0.272    5.       0.00126  789.E-12 5.       3.61    
 503.E-9 -796.E-12 3.63    -0.246    5.01     0.00118 -796.E-12 5.01     3.63    
 503.E-9  798.E-12 3.64    -0.222    5.       0.00122  798.E-12 5.       3.64    
 503.E-9 -794.E-12 3.68    -0.168    5.       0.00131 -794.E-12 5.       3.68    
 503.E-9  797.E-12 3.73    -0.0758   5.       0.00131  797.E-12 5.       3.73    
 503.E-9 -799.E-12 3.78     0.0117   5.       0.00108 -799.E-12 5.       3.78    
 503.E-9  796.E-12 3.83     0.0899   5.       936.E-6  796.E-12 5.       3.83    
 504.E-9 -799.E-12 3.87     0.166    5.       869.E-6 -799.E-12 5.       3.87    
 504.E-9  800.E-12 3.92     0.274    5.       942.E-6  800.E-12 5.       3.92    
 504.E-9 -799.E-12 3.97     0.374    5.       858.E-6 -799.E-12 5.       3.97    
 504.E-9  798.E-12 4.01     0.468    5.       712.E-6  798.E-12 5.       4.01    
 504.E-9 -799.E-12 4.05     0.563    5.       731.E-6 -799.E-12 5.       4.05    
 504.E-9  799.E-12 4.07     0.609    5.       762.E-6  799.E-12 5.       4.07    
 505.E-9 -801.E-12 4.12     0.732    5.       580.E-6 -801.E-12 5.       4.12    
 505.E-9  802.E-12 4.16     0.841    5.       670.E-6  802.E-12 5.       4.16    
 505.E-9 -801.E-12 4.2      0.948    5.       573.E-6 -801.E-12 5.       4.2     
 505.E-9  800.E-12 4.24     1.04     5.       430.E-6  800.E-12 5.       4.24    
 506.E-9 -801.E-12 4.27     1.12     5.       389.E-6 -801.E-12 5.       4.27    
 506.E-9  802.E-12 4.3      1.19     5.       432.E-6  802.E-12 5.       4.3     
 506.E-9 -802.E-12 4.33     1.25     5.       317.E-6 -802.E-12 5.       4.33    
 507.E-9  803.E-12 4.36     1.31     5.       411.E-6  803.E-12 5.       4.36    
 507.E-9 -802.E-12 4.38     1.38     5.       369.E-6 -802.E-12 5.       4.38    
 507.E-9  803.E-12 4.4      1.43     5.       356.E-6  803.E-12 5.       4.4     
 507.E-9 -804.E-12 4.42     1.48     5.       245.E-6 -804.E-12 5.       4.42    
 508.E-9  803.E-12 4.44     1.53     5.       249.E-6  803.E-12 5.       4.44    
 508.E-9 -804.E-12 4.46     1.59     5.       235.E-6 -804.E-12 5.       4.46    
 508.E-9  805.E-12 4.48     1.63     5.       315.E-6  805.E-12 5.       4.48    
 508.E-9 -804.E-12 4.5      1.68     5.       286.E-6 -804.E-12 5.       4.5     
 509.E-9  805.E-12 4.52     1.72     5.       289.E-6  805.E-12 5.       4.52    
 509.E-9 -806.E-12 4.53     1.76     5.       181.E-6 -806.E-12 5.       4.53    
 509.E-9  805.E-12 4.55     1.8      5.       189.E-6  805.E-12 5.       4.55    
 510.E-9 -806.E-12 4.56     1.84     5.       173.E-6 -806.E-12 5.       4.56    
 510.E-9  807.E-12 4.57     1.88     5.       261.E-6  807.E-12 5.       4.57    
 510.E-9 -806.E-12 4.59     1.92     5.       236.E-6 -806.E-12 5.       4.59    
 510.E-9  807.E-12 4.6      1.95     5.       237.E-6  807.E-12 5.       4.6     
 511.E-9 -808.E-12 4.61     1.98     5.       132.E-6 -808.E-12 5.       4.61    
 511.E-9  807.E-12 4.62     2.01     5.       143.E-6  807.E-12 5.       4.62    
 511.E-9 -808.E-12 4.63     2.05     5.       126.E-6 -808.E-12 5.       4.63    
 511.E-9  809.E-12 4.64     2.07     5.       224.E-6  809.E-12 5.       4.64    
 512.E-9 -808.E-12 4.65     2.11     5.       200.E-6 -808.E-12 5.       4.65    
 512.E-9  807.E-12 4.66     2.13     5.       101.E-6  807.E-12 5.       4.66    
 512.E-9 -808.E-12 4.67     2.16     5.       126.E-6 -808.E-12 5.       4.67    
 513.E-9  808.E-12 4.68     2.19     5.       184.E-6  808.E-12 5.       4.68    
 513.E-9 -809.E-12 4.69     2.21     5.       81.1E-6 -809.E-12 5.       4.69    
 513.E-9  808.E-12 4.71     2.25     5.       119.E-6  808.E-12 5.       4.71    
 514.E-9 -808.E-12 4.73     2.31     5.       153.E-6 -808.E-12 5.       4.73    
 515.E-9  808.E-12 4.75     2.36     5.       112.E-6  808.E-12 5.       4.75    
 516.E-9 -809.E-12 4.77     2.44     5.       69.2E-6 -809.E-12 5.       4.77    
 518.E-9  808.E-12 4.81     2.55     5.       87.3E-6  808.E-12 5.       4.81    
 520.E-9 -808.E-12 4.85     2.65     5.       58.2E-6 -808.E-12 5.       4.85    
 524.E-9  808.E-12 4.9      2.79     5.       49.9E-6  808.E-12 5.       4.9     
 529.E-9 -809.E-12 4.93     2.89     5.       10.5E-6 -809.E-12 5.       4.93    
 533.E-9  809.E-12 4.94     2.96     5.       28.5E-6  809.E-12 5.       4.94    
 540.E-9 -809.E-12 4.96     3.04     5.       6.48E-6 -809.E-12 5.       4.96    
 547.E-9  809.E-12 4.97     3.1      5.       16.8E-6  809.E-12 5.       4.97    
 555.E-9 -809.E-12 4.98     3.14     5.      -4.51E-6 -809.E-12 5.       4.98    
 571.E-9  809.E-12 4.99     3.2      5.       16.9E-6  809.E-12 5.       4.99    
 584.E-9 -809.E-12 4.99     3.23     5.      -8.67E-6 -809.E-12 5.       4.99    
 611.E-9  809.E-12 4.99     3.28     5.       11.5E-6  809.E-12 5.       4.99    
 629.E-9 -809.E-12 5.       3.3      5.      -7.67E-6 -809.E-12 5.       5.      
 678.E-9  809.E-12 5.       3.34     5.       8.57E-6  809.E-12 5.       5.      
 706.E-9 -809.E-12 5.       3.35     5.      -6.79E-6 -809.E-12 5.       5.      
 762.E-9  809.E-12 5.       3.37     5.       6.87E-6  809.E-12 5.       5.      
 817.E-9 -809.E-12 5.       3.38     5.      -6.06E-6 -809.E-12 5.       5.      
 873.E-9  809.E-12 5.       3.39     5.       5.83E-6  809.E-12 5.       5.      
 929.E-9 -809.E-12 5.       3.4      5.      -4.96E-6 -809.E-12 5.       5.      
 1.E-6    809.E-12 5.       3.41     5.       4.88E-6  809.E-12 5.       5.      
 1.E-6    2.5      4.97     3.36     4.74    -0.00328  2.5      4.74     4.97    
 1.E-6    5.       4.42     2.66     1.4      3.24     5.       1.4      4.42    
 1.E-6    5.       4.22     2.43    -0.313    5.14     5.      -0.313    4.22    
 1.E-6    5.       4.33     2.58     0.133    4.98     5.       0.133    4.33    
 1.E-6    5.       4.33     2.59     0.13     4.96     5.       0.13     4.33    
 1.E-6    5.       4.34     2.6      0.128    4.95     5.       0.128    4.34    
 1.E-6    5.       4.34     2.6      0.127    4.94     5.       0.127    4.34    
 1.E-6    5.       4.34     2.61     0.124    4.94     5.       0.124    4.34    
 1.E-6    5.       4.37     2.65     0.111    4.94     5.       0.111    4.37    
 1.E-6    5.       4.38     2.68     0.0903   4.94     5.       0.0903   4.38    
 1.E-6    5.       4.41     2.73     0.0713   4.96     5.       0.0713   4.41    
 1.E-6    5.       4.43     2.79     0.0459   4.97     5.       0.0459   4.43    
 1.E-6    5.       4.4      2.84     0.0282   4.99     5.       0.0282   4.4     
 1.E-6    5.       4.33     2.85     0.0187   4.99     5.       0.0187   4.33    
 1.E-6    5.       4.23     2.85     0.0156   5.       5.       0.0156   4.23    
 1.E-6    5.       4.02     2.83     0.00979  5.       5.       0.00979  4.02    
 1.E-6    5.       3.77     2.81     0.00833  5.       5.       0.00833  3.77    
 1.E-6    5.       3.48     2.83     0.00659  5.       5.       0.00659  3.48    
 1.E-6    5.       3.18     2.9      0.00704  5.       5.       0.00704  3.18    
 1.E-6    5.       2.74     3.15     0.0125   5.       5.       0.0125   2.74    
 1.E-6    5.       2.38     3.52    -0.00135  5.       5.      -0.00135  2.38    
 1.E-6    5.       2.37     3.53    -0.0011   5.       5.      -0.0011   2.37    
 1.E-6    5.       2.36     3.54    -694.E-6  5.       5.      -694.E-6  2.36    
 1.E-6    5.       2.35     3.55    -480.E-6  5.       5.      -480.E-6  2.35    
 1.E-6    5.       2.34     3.56    -255.E-6  5.       5.      -255.E-6  2.34    
 1.E-6    5.       2.33     3.57    -1.51E-6  5.       5.      -1.51E-6  2.33    
 1.01E-6  5.       2.32     3.59     112.E-6  5.       5.       112.E-6  2.32    
 1.01E-6  5.       2.3      3.6      138.E-6  5.       5.       138.E-6  2.3     
 1.01E-6  5.       2.29     3.62     156.E-6  5.       5.       156.E-6  2.29    
 1.01E-6  5.       2.27     3.64     393.E-6  4.99     5.       393.E-6  2.27    
 1.01E-6  5.       2.25     3.67     629.E-6  5.       5.       629.E-6  2.25    
 1.01E-6  5.       2.21     3.71     566.E-6  5.       5.       566.E-6  2.21    
 1.01E-6  5.       2.18     3.74     591.E-6  5.       5.       591.E-6  2.18    
 1.01E-6  5.       2.15     3.78     623.E-6  5.       5.       623.E-6  2.15    
 1.01E-6  5.       2.09     3.86     619.E-6  5.       5.       619.E-6  2.09    
 1.01E-6  5.       2.03     3.93     663.E-6  5.       5.       663.E-6  2.03    
 1.01E-6  5.       1.98     4.       641.E-6  5.       5.       641.E-6  1.98    
 1.01E-6  5.       1.92     4.07     699.E-6  5.       5.       699.E-6  1.92    
 1.01E-6  5.       1.87     4.14     636.E-6  5.       5.       636.E-6  1.87    
 1.01E-6  5.       1.8      4.24     746.E-6  5.       5.       746.E-6  1.8     
 1.01E-6  5.       1.73     4.33     633.E-6  5.       5.       633.E-6  1.73    
 1.01E-6  5.       1.6      4.48     768.E-6  5.       5.       768.E-6  1.6     
 1.01E-6  5.       1.47     4.6      597.E-6  5.       5.       597.E-6  1.47    
 1.01E-6  5.       1.34     4.68     627.E-6  5.       5.       627.E-6  1.34    
 1.01E-6  5.       1.14     4.79     653.E-6  5.       5.       653.E-6  1.14    
 1.01E-6  5.       0.976    4.86     528.E-6  5.       5.       528.E-6  0.976   
 1.01E-6  5.       0.843    4.91     418.E-6  5.       5.       418.E-6  0.843   
 1.01E-6  5.       0.723    4.94     453.E-6  5.       5.       453.E-6  0.723   
 1.01E-6  5.       0.533    4.97     240.E-6  5.       5.       240.E-6  0.533   
 1.01E-6  5.       0.419    4.96     306.E-6  5.       5.       306.E-6  0.419   
 1.01E-6  5.       0.331    4.95     231.E-6  5.       5.       231.E-6  0.331   
 1.01E-6  5.       0.264    4.94     178.E-6  5.       5.       178.E-6  0.264   
 1.02E-6  5.       0.215    4.93     166.E-6  5.       5.       166.E-6  0.215   
 1.02E-6  5.       0.177    4.91     131.E-6  5.       5.       131.E-6  0.177   
 1.02E-6  5.       0.149    4.89     120.E-6  5.       5.       120.E-6  0.149   
 1.02E-6  5.       0.129    4.88     149.E-6  5.       5.       149.E-6  0.129   
 1.02E-6  5.       0.113    4.86     102.E-6  5.       5.       102.E-6  0.113   
 1.02E-6  5.       0.102    4.85     68.E-6   5.       5.       68.E-6   0.102   
 1.02E-6  5.       0.0926   4.84     71.5E-6  5.       5.       71.5E-6  0.0926  
 1.02E-6  5.       0.0861   4.83     103.E-6  5.       5.       103.E-6  0.0861  
 1.02E-6  5.       0.0816   4.82     67.1E-6  5.       5.       67.1E-6  0.0816  
 1.02E-6  5.       0.0819   4.81     36.9E-6  5.       5.       36.9E-6  0.0819  
 1.02E-6  5.       0.0788   4.8      40.2E-6  5.       5.       40.2E-6  0.0788  
 1.03E-6  5.       0.0787   4.79     82.3E-6  5.       5.       82.3E-6  0.0787  
 1.03E-6  5.       0.0767   4.78     41.6E-6  5.       5.       41.6E-6  0.0767  
 1.03E-6  5.       0.0766   4.77     19.3E-6  5.       5.       19.3E-6  0.0766  
 1.03E-6  5.       0.0746   4.76     25.7E-6  5.       5.       25.7E-6  0.0746  
 1.03E-6  5.       0.0754   4.76     66.3E-6  5.       5.       66.3E-6  0.0754  
 1.03E-6  5.       0.0744   4.75     31.1E-6  5.       5.       31.1E-6  0.0744  
 1.03E-6  5.       0.075    4.74     11.7E-6  5.       5.       11.7E-6  0.075   
 1.03E-6  5.       0.0743   4.73     20.1E-6  5.       5.       20.1E-6  0.0743  
 1.03E-6  5.       0.0748   4.73     42.3E-6  5.       5.       42.3E-6  0.0748  
 1.04E-6  5.       0.0748   4.72    -14.E-6   5.       5.      -14.E-6   0.0748  
 1.04E-6  5.       0.0754   4.71     35.3E-6  5.       5.       35.3E-6  0.0754  
 1.04E-6  5.       0.0759   4.7      10.3E-6  5.       5.       10.3E-6  0.0759  
 1.04E-6  5.       0.0764   4.7      29.4E-6  5.       5.       29.4E-6  0.0764  
 1.04E-6  5.       0.0772   4.69    -14.E-6   5.       5.      -14.E-6   0.0772  
 1.05E-6  5.       0.0788   4.68     25.6E-6  5.       5.       25.6E-6  0.0788  
 1.05E-6  5.       0.08     4.67     1.92E-6  5.       5.       1.92E-6  0.08    
 1.06E-6  5.       0.0814   4.66     8.08E-6  5.       5.       8.08E-6  0.0814  
 1.06E-6  5.       0.0826   4.66     8.2E-6   5.       5.       8.2E-6   0.0826  
 1.07E-6  5.       0.0841   4.65     5.88E-6  5.       5.       5.88E-6  0.0841  
 1.08E-6  5.       0.0856   4.64    -3.13E-6  5.       5.      -3.13E-6  0.0856  
 1.09E-6  5.       0.0873   4.63     5.75E-6  5.       5.       5.75E-6  0.0873  
 1.11E-6  5.       0.0889   4.62    -62.6E-9  5.       5.      -62.6E-9  0.0889  
 1.12E-6  5.       0.0904   4.61     4.61E-6  5.       5.       4.61E-6  0.0904  
 1.14E-6  5.       0.0914   4.61    -4.21E-6  5.       5.      -4.21E-6  0.0914  
 1.16E-6  5.       0.093    4.6      7.44E-6  5.       5.       7.44E-6  0.093   
 1.19E-6  5.       0.0939   4.6     -5.26E-6  5.       5.      -5.26E-6  0.0939  
 1.22E-6  5.       0.0949   4.59     4.93E-6  5.       5.       4.93E-6  0.0949  
 1.24E-6  5.       0.0955   4.59    -3.25E-6  5.       5.      -3.25E-6  0.0955  
 1.3E-6   5.       0.0965   4.58     4.72E-6  5.       5.       4.72E-6  0.0965  
 1.35E-6  5.       0.0976   4.58    -4.96E-6  5.       5.      -4.96E-6  0.0976  
 1.4E-6   5.       0.0981   4.58     4.44E-6  5.       5.       4.44E-6  0.0981  
 1.48E-6  5.       0.0987   4.57    -3.8E-6   5.       5.      -3.8E-6   0.0987  
 1.5E-6   5.       0.0988   4.57     2.65E-6  5.       5.       2.65E-6  0.0988  
 1.5E-6   2.5      0.138    4.61     0.777    5.01     2.5      0.777    0.138   
 1.5E-6   1.25     0.0299   4.52     3.23     4.37     1.25     3.23     0.0299  
 1.5E-6   79.4E-12-0.334    4.25     4.93     1.53     79.4E-12 4.93    -0.334   
 1.5E-6  -205.E-12-0.4      4.2      4.91     1.18    -205.E-12 4.91    -0.4     
 1.5E-6   106.E-12-0.438    4.17     4.9      0.97     106.E-12 4.9     -0.438   
 1.5E-6  -196.E-12-0.462    4.15     4.9      0.832   -196.E-12 4.9     -0.462   
 1.5E-6   78.2E-12-0.484    4.14     4.9      0.701    78.2E-12 4.9     -0.484   
 1.5E-6  -97.7E-12-0.539    4.09     4.89     0.479   -97.7E-12 4.89    -0.539   
 1.5E-6   113.E-12-0.571    4.07     4.89     0.402    113.E-12 4.89    -0.571   
 1.5E-6  -77.7E-12-0.59     4.05     4.89     0.371   -77.7E-12 4.89    -0.59    
 1.5E-6   111.E-12-0.605    4.04     4.89     0.351    111.E-12 4.89    -0.605   
 1.5E-6  -62.1E-12-0.623    4.02     4.89     0.326   -62.1E-12 4.89    -0.623   
 1.5E-6   85.9E-12-0.638    4.01     4.9      0.317    85.9E-12 4.9     -0.638   
 1.5E-6  -54.8E-12-0.649    4.       4.9      0.308   -54.8E-12 4.9     -0.649   
 1.5E-6   95.8E-12-0.661    3.99     4.9      0.296    95.8E-12 4.9     -0.661   
 1.5E-6  -72.9E-12-0.672    3.98     4.9      0.288   -72.9E-12 4.9     -0.672   
 1.5E-6   131.E-12-0.683    3.97     4.9      0.279    131.E-12 4.9     -0.683   
 1.5E-6  -128.E-12-0.693    3.96     4.9      0.275   -128.E-12 4.9     -0.693   
 1.5E-6   153.E-12-0.71     3.95     4.9      0.266    153.E-12 4.9     -0.71    
 1.5E-6  -112.E-12-0.722    3.94     4.9      0.264   -112.E-12 4.9     -0.722   
 1.5E-6   128.E-12-0.733    3.93     4.91     0.263    128.E-12 4.91    -0.733   
 1.5E-6  -83.1E-12-0.752    3.91     4.9      0.26    -83.1E-12 4.9     -0.752   
 1.5E-6   85.6E-12-0.766    3.9      4.91     0.257    85.6E-12 4.91    -0.766   
 1.5E-6  -70.3E-12-0.783    3.89     4.91     0.252   -70.3E-12 4.91    -0.783   
 1.5E-6   91.3E-12-0.824    3.85     4.91     0.241    91.3E-12 4.91    -0.824   
 1.5E-6  -74.7E-12-0.865    3.82     4.91     0.231   -74.7E-12 4.91    -0.865   
 1.5E-6   99.2E-12-0.946    3.77     4.91     0.211    99.2E-12 4.91    -0.946   
 1.5E-6  -82.8E-12-1.08     3.68     4.93     0.18    -82.8E-12 4.93    -1.08    
 1.5E-6   92.1E-12-1.29     3.57     4.94     0.132    92.1E-12 4.94    -1.29    
 1.5E-6  -84.2E-12-1.49     3.54     4.96     0.0871  -84.2E-12 4.96    -1.49    
 1.5E-6   89.4E-12-1.6      3.66     4.98     0.0488   89.4E-12 4.98    -1.6     
 1.5E-6  -87.2E-12-1.54     4.       5.       0.0228  -87.2E-12 5.      -1.54    
 1.5E-6   87.7E-12-1.45     4.21     5.       0.0147   87.7E-12 5.      -1.45    
 1.5E-6  -86.6E-12-1.37     4.36     5.       0.0112  -86.6E-12 5.      -1.37    
 1.5E-6   86.9E-12-1.3      4.45     5.       0.00848  86.9E-12 5.      -1.3     
 1.5E-6  -86.7E-12-1.2      4.54     5.       0.00684 -86.7E-12 5.      -1.2     
 1.5E-6   86.7E-12-1.06     4.56     5.       0.0113   86.7E-12 5.      -1.06    
 1.51E-6 -86.6E-12-0.733    4.58     5.      -0.00171 -86.6E-12 5.      -0.733   
 1.51E-6  86.E-12 -0.727    4.58     5.      -0.00128  86.E-12  5.      -0.727   
 1.51E-6 -85.2E-12-0.72     4.58     5.      -910.E-6 -85.2E-12 5.      -0.72    
 1.51E-6  83.E-12 -0.714    4.58     5.      -688.E-6  83.E-12  5.      -0.714   
 1.51E-6 -83.3E-12-0.715    4.58     5.      -491.E-6 -83.3E-12 5.      -0.715   
 1.51E-6  79.E-12 -0.704    4.58     5.      -289.E-6  79.E-12  5.      -0.704   
 1.51E-6 -86.1E-12-0.696    4.58     5.       165.E-6 -86.1E-12 5.      -0.696   
 1.51E-6  77.1E-12-0.689    4.58     5.       212.E-6  77.1E-12 5.      -0.689   
 1.51E-6 -77.5E-12-0.684    4.58     5.       260.E-6 -77.5E-12 5.      -0.684   
 1.51E-6  65.2E-12-0.672    4.58     5.       249.E-6  65.2E-12 5.      -0.672   
 1.51E-6 -72.6E-12-0.659    4.58     5.       236.E-6 -72.6E-12 5.      -0.659   
 1.51E-6  63.4E-12-0.644    4.57     5.       262.E-6  63.4E-12 5.      -0.644   
 1.51E-6 -64.2E-12-0.632    4.57     5.       395.E-6 -64.2E-12 5.      -0.632   
